a,n,a{f}," /e?/ (name of the letter A, a)"
Aachen,prop,Aquisgrán, /??.k?n/ (city in North Rhine-Westphalia)
aah,interj,"¡ay!,¡ah!", (expressing amazement or surprise)
açai,n,asaí{m}, /??.s???i?/
Aalenian,adj,aaleniano, (of or pertaining to the Aalenian epoch)
Aalenian,prop,aaleniano{m}, (subdivision of the Middle Jurassic epoch)
aalii,n,chirca{f}, /??li?i/ (Dodonaea viscosa)
aardvark,n,cerdo hormiguero{m}, /???d?v??k/ (mammal)
aardwolf,n,"lobo de tierra{m},proteles{m}", /???d.?w?lf/ (the mammal species Proteles cristatus)
Aaron,prop,Aarón{m}, /???.?n/ (biblical brother of Moses)
Aaron,prop,Aarón, (male given name)
Aaronic,adj,aarónico, /æ???n.?k/ (pertaining to Aaron)
abaca,n,abacá{m}, /?æb.??k?/ (plant)
abacist,n,abacista{m} {f}, /??b?.k?st/ (One who uses an abacus.)
aback,adv,"atrás,hacia atrás", /??bæk/ (backwards)
abacus,n,ábaco{m}, /??b?k.?s/ (calculating frame)
Abadan,prop,Abadán, /??.b??d?n/ (city in Iran)
abaft,adv,a popa, ((nautical) on the aft side)
abaft,prep,a popa, /??b?ft/ ((nautical) behind; toward the stern relative to some other object or position; aft of)
abalone,n,"oreja de mar{f},abulón{m},loco{m}", /æb.??lo?.ni/ (edible univalve mollusc)
abandon,n,desenfreno{m}, (a giving up to natural impulses)
abandon,v,"renunciar,suspender"," /??bæn.dn?/ (to give up control of, surrender)"
abandon,v,expulsar," (to cast out, expel, reject)"
abandon,v,abandonar, (to leave behind or desert; to forsake)
abandon,v,renunciar," (to no longer exercise a right, relinquish a claim to property)"
abandoned,adj,"desenfrenado,desinhibido"," /??bæn.dn?d/ (wicked, self-abandoned, given to sin)"
abandoned,adj,abandonado," (no longer maintained, forsaken, deserted)"
abandonment,n,abandono{m},
abandonment,n,abandono{m}, /??bæn.dn?.mn?t/ (act of abandoning)
abase,v,"rebajar,degradar,humillar"," /?.?be?s/ (to lower as in rank, so as to hurt feelings)"
abasement,n,"rebajamiento{m},abatimiento{m},humillación{m}", /??be?s.m?nt/ (the act of abasing)
abash,v,"confundir,avergonzar,abochornar"," /??bæ?/ (to make ashamed, to embarrass)"
abashed,adj,avergonzado, /??bæ?t/ (embarrassed)
abate,v,"reducir,suprimir,menguar", /??be?t/ (to bring down or reduce to a lower state)
abate,v,"abatir,humillar", (to bring down a person physically or mentally)
abatement,n,disminución{f}, /??be?t.m?nt/ (the act of abating or the state of being abated)
abattoir,n,matadero{m}, /?æb.??tw??/ (public slaughterhouse)
abbatial,adj,abacial, /??be?.?l?/ (belonging to an abbey)
abbess,n,abadesa{f}, /?æb.?s/ (female superior of a nunnery)
abbey,n,abadía{f}, /?æb.i/ (monastery headed by an abbot)
abbey,n,abadía{f}, (church of a monastery)
abbeystead,n,abadía{f}, (seat of an abbey)
abbot,n,abad{m}, /?æb.?t/ (superior or head of an abbey or monastery)
abbreviate,v,abreviar, /??bri.vi.e?t/ (to make shorter)
abbreviate,v,simplificar, (to reduce to lower terms)
abbreviated,adj,abreviado, /??bri.vi?e?.t?d/ (shortened)
abbreviation,n,abreviación{f}, (act or result of shortening or reducing)
abbreviation,n,abreviación{f}, /??bri.vi?e?.?n?/ (shortened or contracted form of a word or phrase)
abbreviature,n,abreviatura,
abciximab,n,abciximab{m}, (antiplatelet drug)
abdest,n,abdesto{m}, (Islamic act of washing parts of the body)
abdicate,v,abdicar, /?æb.d??ke?t/ (surrender or relinquish)
abdicate,v,abdicar, (disinherit)
abdicate,v,abdicar, (reject)
abdicate,v,abdicar, (renounce a throne)
abdication,n,abdicación{f}," /?æb.d??ke?.??n/ (the act of abdicating; the renunciation of a high office, dignity, or trust, by its holder)"
abdomen,n,"abdomen{m},vientre{m}", /?æb.d?.m?n/ (belly)
abdominal,adj,abdominal, /æb?d?m.?.nl?/ (of or pertaining to the abdomen)
abdominoplasty,n,abdominoplastia, /æb?d?m.?.no??plæs.ti/ (surgery)
abduce,v,abducir," /æb.?dus/ (transitive, obsolete: to draw or conduct away; to withdraw; to draw to a different part)"
abduct,v,"raptar,secuestrar", /æb?d?kt/ (to take away)
abduct,v,abducir, (to draw away from its ordinary position)
abduction,n,"rapto{m},secuestro{m}"," /æb?d?k.?n?/ (leading away, carrying away)"
abduction,n,rapto{m}, (law: wrongful carrying off of a human being)
abduction,n,abducción{f}, (logic: type of syllogism)
abduction,n,abducción{f}, (physiology: movement separating limb from axis)
abductor,n,"raptor{m},secuestrador{m}", /æb?d?k.t?/ (kidnapper)
abductor,n,abductor{m}, (muscle)
Abecedarian,n,abecedariano{m}, /?e?.bi?si?dæ?.i.?n/ (member of a 16th-century sect)
abecedary,n,abecedario{m}, /?e?.bi.?si.d?.i/ (the alphabet)
abed,adv,"en cama,acostado"," /??b?d/ (in bed, or on the bed)"
Abel,prop,Abel{m}, /?e?.b?l/ (biblical character)
Abel,prop,Abel{m}, (male given name)
Abelard,prop,Abelardo, /?æb.?.?l??d/ (male given name)
abele,n,álamo blanco{m}," /??bil/ (the white poplar, Populus alba)"
abelian,adj,"abeliano,conmutativo", /??bi.li.?n/ (math: of a group)
Abelian,n,abelonita{m} {f}, (member of a sect living like Abel)
abelian group,n,grupo abeliano{m}, /??bi.li.?n ??up/ (a group in which the group operation is commutative)
abelmosk,n,abelmosco{m}, /?e?.b?l?m?sk/ (evergreen shrub)
aberrance,n,aberración{f}," /?æ.b??.n?s/ (state of being aberrant; a wandering from the right way; deviation from truth, rectitude)"
aberrant,adj,"anómalo,atípico", (deviating from the ordinary or natural type; exceptional; abnormal)
aberrant,adj,aberrante, /?b???.n?t/ (deviating from the norm)
aberrant,adj,"aberrante,anormal", (straying from the right way)
aberration,n,"aberración{f},perturbación mental{f}",
aberration,n,aberración{f}, /?æb.??re?.?n?/ (act of wandering or deviation; abnormality)
aberration,n,aberración{f}, (astronomy: small periodical change of position of heavenly bodies)
aberration,n,aberración{f}, (optics: convergence to different foci)
aberration,n,aberración{f}," (zoology, botany: atypical development or structure)"
